           |       |        |        |        |        |        |        |     |        |   flow |    amt |    pct |    amt |   ETOH |
           |       |  T amb | T boil | T sthd | T cool | T cool | T boil | jar |        |   rate |   coll |    alc | 100abv |    rem |
      Time |   PWM |    (C) |    (C) |    (C) | in (C) | out(C) | tgt(C) |   # |  PHASE | ml/min |   (ml) |    out |   (ml) |   (ml) |
--------------------------------------------------------------------------------------------------------------------------------------
  20:23:28 |    40 | 27.500 | 24.875 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |      0 |     80 |      0 |   8999 |
  20:23:41 |27.562 | 25.000 |    N/A |    N/A |    N/A |     74 |      0 |   E |     30 |      6 |     80 |      5 |   8994 |
  20:23:52 | 9.077 | 27.562 | 24.937 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     12 |     80 |      4 |   8990 |
  20:24:03 |22.827 | 27.625 | 25.062 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     17 |     80 |      4 |   8985 |
  20:24:13 |38.612 | 27.625 | 25.062 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     22 |     80 |      3 |   8981 |
  20:24:23 |56.197 | 27.687 | 25.125 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     27 |     80 |      3 |   8977 |
  20:24:34 |75.196 | 27.625 | 25.062 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     33 |     80 |      4 |   8973 |
  20:24:44 |95.782 | 27.687 | 25.125 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     38 |     80 |      4 |   8969 |
  20:24:54 |    99 | 27.687 | 25.187 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     43 |     80 |      3 |   8965 |
  20:25:04 |    99 | 27.750 | 25.187 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     48 |     80 |      4 |   8961 |
  20:25:15 |    99 | 27.750 | 25.250 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     53 |     80 |      4 |   8957 |
