           |       |        |        |        |
           |       |  T amb | T boil |  Tboil |
      Time |   PWM |    (C) |    (C) | tgt(C) |
-----------------------------------------------
  17:38:14 |    25 | absent | absent |     65 |
  17:38:23 |    85 | absent | absent |     65 |
  17:38:32 |    85 | absent | absent |     65 |
  17:38:41 |    85 | absent | absent |     65 |
  17:38:50 |    85 | absent | absent |     65 |
           |       |        |        |        |
           |       |  T amb | T boil |  Tboil |
      Time |   PWM |    (C) |    (C) | tgt(C) |
-----------------------------------------------
  17:42:17 |    25 | absent | 21.625 |     65 |
  17:42:27 |68.375 | absent | 21.687 |     65 |
  17:42:37 |    85 | absent | 21.625 |     74 |
  17:42:47 |    85 | absent | 21.625 |     74 |
  17:42:57 |    85 | absent | 21.625 |     74 |
  17:43:07 |    85 | absent | 21.625 |     74 |
  17:43:17 |    85 | absent | 21.625 |     74 |
  17:43:27 |    85 | absent | 21.625 |     74 |
  17:43:37 |    85 | absent | 21.625 |     74 |
  17:43:47 |    85 | absent | 21.562 |     74 |
  17:43:57 |    85 | absent | 21.625 |     74 |
           |       |        |        |        |
           |       |  T amb | T boil |  Tboil |
      Time |   PWM |    (C) |    (C) | tgt(C) |
-----------------------------------------------
  17:44:03 |    25 | absent | 21.625 |     65 |
  17:44:13 |68.375 | absent | 21.812 |     65 |
  17:44:23 |    85 | absent | 21.937 |     65 |
  17:44:33 |    85 | absent | 22.125 |     65 |
  17:44:43 |    85 | absent | 22.187 |     65 |
  17:44:53 |    85 | absent | 22.250 |     65 |
  17:45:03 |    85 | absent | 22.312 |     65 |
  17:45:13 |    85 | absent | 22.375 |     65 |
  17:45:23 |    85 | absent | 22.437 |     65 |
  17:45:33 |    85 | absent | 22.562 |     65 |
  17:45:43 |    85 | absent | 22.625 |     65 |
  17:45:53 |    85 | absent | 22.625 |     65 |
  17:46:03 |    85 | absent | 22.625 |     65 |
  17:46:13 |    85 | absent | 22.687 |     65 |
  17:46:23 |    85 | absent | 22.750 |     65 |
  17:46:33 |    85 | absent | 22.750 |     65 |
  17:46:43 |    85 | absent | 22.812 |     65 |
  17:46:53 |    85 | absent | 22.875 |     65 |
  17:47:03 |    85 | absent | 22.937 |     65 |
  17:47:13 |    85 | absent | 23.000 |     65 |
  17:47:23 |    85 | absent | 22.937 |     65 |
  17:47:33 |    85 | absent | 23.000 |     65 |
  17:47:43 |    85 | absent | 23.000 |     65 |
  17:47:53 |    85 | absent | 23.062 |     65 |
  17:48:03 |    85 | absent | 23.062 |     65 |
  17:48:13 |    85 | absent | 23.062 |     65 |
  17:48:23 |    85 | absent | 23.187 |     65 |
  17:48:33 |    85 | absent | 23.250 |     65 |
  17:48:43 |    85 | absent | 23.250 |     65 |
  17:48:53 |    85 | absent | 23.312 |     65 |
  17:49:03 |    85 | absent | 23.312 |     65 |
  17:49:13 |    85 | absent | 23.375 |     65 |
  17:49:23 |    85 | absent | 23.375 |     65 |
  17:49:33 |    85 | absent | 23.437 |     65 |
