           |       |        |        |        |        |        |        |     |        |   flow |    amt |    pct |    amt |   ETOH |
           |       |  T amb | T boil | T sthd | T cool | T cool | T sthd | jar |        |   rate |   coll |    alc | 100abv |    rem |
      Time |   PWM |    (C) |    (C) |    (C) | in (C) | out(C) | tgt(C) |   # |  PHASE | ml/min |   (ml) |    out |   (ml) |   (ml) |
--------------------------------------------------------------------------------------------------------------------------------------
  14:36:03 |    99 | 24.250 | 15.562 | 21.125 | 15.875 | 19.062 |   76.5 |   0 |      E |     30 |      0 |     80 |      0 |   8999 |
  14:36:17 |    99 | 24.250 | 15.625 | 21.187 | 15.937 | 19.062 |   76.5 |   0 |      E |     30 |      6 |     80 |      5 |   8994 |
  14:36:30 |    99 | 24.312 | 15.625 | 21.187 | 15.937 | 19.125 |   76.5 |   0 |      E |     30 |     13 |     80 |      5 |   8989 |
  14:36:43 |    99 | 24.312 | 15.625 | 21.187 | 16.000 | 19.125 |   76.5 |   0 |      E |     30 |     19 |     80 |      5 |   8984 |
  14:36:56 |    99 | 24.250 | 15.625 | 21.187 | 16.000 | 19.062 |   76.5 |   0 |      E |     30 |     26 |     80 |      5 |   8979 |
  14:37:09 |    99 | 24.312 | 15.812 | 21.187 | 16.000 | 19.125 |   76.5 |   0 |      E |     30 |     32 |     80 |      5 |   8973 |
  14:37:22 |    99 | 24.312 | 15.937 | 21.187 | 15.937 | 19.125 |   76.5 |   0 |      E |     30 |     39 |     80 |      5 |   8968 |
  14:37:35 |    99 | 24.250 | 16.062 | 21.187 | 16.000 | 19.125 |   76.5 |   0 |      E |     30 |     45 |     80 |      5 |   8963 |
  14:37:48 |    99 | 24.312 | 16.812 | 21.125 | 16.000 | 19.125 |   76.5 |   0 |      E |     30 |     52 |     80 |      5 |   8958 |
  14:38:01 |    99 | 24.312 | 17.312 | 21.187 | 16.000 | 19.187 |   76.5 |   0 |      E |     30 |     58 |     80 |      5 |   8952 |
  14:38:14 |    99 | 24.250 | 17.375 | 21.125 | 16.000 | 19.125 |   76.5 |   0 |      E |     30 |     65 |     80 |      5 |   8947 |
  14:38:27 |    99 | 24.312 | 17.500 | 21.125 | 16.000 | 19.187 |   76.5 |   0 |      E |     30 |     71 |     80 |      5 |   8942 |
  14:38:40 |    99 | 24.312 | 17.937 | 21.187 | 16.000 | 19.125 |   76.5 |   0 |      E |     30 |     78 |     80 |      5 |   8937 |
  14:38:53 |    99 | 24.312 | 18.250 | 21.187 | 16.000 | 19.125 |   76.5 |   0 |      E |     30 |     84 |     80 |      5 |   8932 |
  14:39:06 |    99 | 24.250 | 18.562 | 21.187 | 16.062 | 19.187 |   76.5 |   0 |      E |     30 |     91 |     80 |      5 |   8927 |
  14:39:19 |    99 | 24.312 | 18.812 | 21.125 | 16.062 | 19.125 |   76.5 |   0 |      E |     30 |     97 |     80 |      5 |   8921 |
  14:39:32 |    99 | 24.250 | 18.937 | 21.187 | 16.062 | 19.187 |   76.5 |   0 |      E |     30 |    104 |     80 |      5 |   8916 |
  14:39:45 |    99 | 24.312 | 19.125 | 21.125 | 16.000 | 19.187 |   76.5 |   0 |      E |     30 |    110 |     80 |      5 |   8911 |
