           |       |        |        |
           |       |  T amb | T boil |
      Time |   PWM |    (C) |    (C) |
-----------------------------------
  19:22:38 |51.076 | 29.687 | 27.375 |
  19:22:48 |53.782 | 29.687 | 27.437 |
  19:22:58 |56.425 | 29.625 | 27.500 |
  19:23:08 |59.006 | 29.687 | 27.500 |
  19:23:18 |61.524 | 29.687 | 27.562 |
  19:23:28 |64.042 | 29.687 | 27.625 |
  19:23:38 |63.750 | 29.687 | 27.750 |
  19:23:48 |63.393 | 29.687 | 27.812 |
  19:23:58 |62.911 | 29.687 | 28.000 |
  19:24:08 |62.367 | 29.687 | 28.125 |
  19:24:18 |61.696 | 29.687 | 28.187 |
  19:24:28 |60.962 | 29.687 | 28.312 |
  19:24:38 |60.228 | 29.687 | 28.500 |
  19:24:48 |59.430 | 29.687 | 28.500 |
  19:24:58 |58.444 | 29.687 | 28.687 |
  19:25:08 |57.518 | 29.687 | 28.750 |
  19:25:18 |56.468 | 29.687 | 28.937 |
  19:25:28 |55.479 | 29.687 | 29.000 |
  19:25:38 |54.365 | 29.687 | 29.125 |
  19:25:48 |53.374 | 29.750 | 29.250 |
  19:25:58 |52.382 | 29.687 | 29.312 |
  19:26:08 |51.327 | 29.687 | 29.375 |
  19:26:18 |50.333 | 29.687 | 29.500 |
  19:26:28 |49.464 | 29.687 | 29.625 |
  19:26:38 |48.469 | 29.687 | 29.687 |
  19:26:48 |47.535 | 29.687 | 29.750 |
  19:26:58 |46.601 | 29.687 | 29.812 |
  19:27:08 |45.791 | 29.687 | 29.875 |
  19:27:18 |44.981 | 29.687 | 29.937 |
  19:27:28 |44.233 | 29.687 | 30.062 |
  19:27:38 |43.547 | 29.687 | 30.125 |
  19:27:48 |42.798 | 29.750 | 30.187 |
  19:27:58 |42.049 | 29.687 | 30.250 |
           |       |        |        |
           |       |  T amb | T boil |
      Time |   PWM |    (C) |    (C) |
-----------------------------------
  19:29:34 |    40 | 29.687 | 30.562 |
  19:29:45 |40.013 | 29.750 | 30.562 |
  19:29:55 |44.475 | 29.750 | 30.562 |
  19:30:05 |48.940 | 29.750 | 30.500 |
  19:30:15 |53.407 | 29.687 | 30.562 |
  19:30:25 |57.937 | 29.750 | 30.625 |
  19:30:35 |62.406 | 29.750 | 30.625 |
  19:30:45 |66.813 | 29.750 | 30.625 |
  19:30:55 |71.220 | 29.750 | 30.687 |
  19:31:05 |75.626 | 29.750 | 30.812 |
  19:31:15 |79.970 | 29.750 | 30.937 |
  19:31:25 |79.753 | 29.750 | 31.062 |
  19:31:35 |79.410 | 29.750 | 31.125 |
  19:31:45 |78.942 | 29.750 | 31.312 |
  19:31:55 |78.349 | 29.750 | 31.500 |
  19:32:05 |77.629 | 29.750 | 31.625 |
