time     | tare amb (C) | T amb (C)  | 56 wt unadj  | 2425 wt unadj | 56 wt adj  | 2425 wt adj   |
--------------------------------------------------------------------------------------------------
0.0003777619858738035 |34.25 |34.375 |-0.2928947029856093 |0.3379291700459905 |-0.08039470298560933 |0.2304291700459905 |
1.4861722670029849 |34.25 |34.375 |-0.21652309351552976 |0.4471699466486024 |-0.004023093515529763 |0.3396699466486024 |
2.9765642849961296 |34.25 |34.312 |-0.206668692293584 |0.022620564852088104 |-0.10126869229358806 |-0.03069943514790984 |
4.467069426988019 |34.25 |34.375 |-0.20913229259907043 |-0.10896491605560345 |0.003367707400929565 |-0.21646491605560345 |
6.048081988992635 |34.25 |34.375 |-0.2510134977923399 |-0.07420648713659059 |-0.038513497792339896 |-0.1817064871365906 |
7.6292900199769065 |34.25 |34.375 |-0.24115909657039414 |0.2088264340610856 |-0.028659096570394144 |0.10132643406108559 |
9.119662708981195 |34.25 |34.312 |-0.3224579066514466 |0.18648172975600588 |-0.21705790665145064 |0.13316172975600793 |
10.610143469995819 |34.25 |34.375 |-0.2707223002362314 |-0.07172374221380395 |-0.0582223002362314 |-0.17922374221380394 |
12.191183213988552 |34.25 |34.375 |-0.2337682956539348 |-0.10399942621003018 |-0.021268295653934816 |-0.21149942621003018 |
13.681600846000947 |34.25 |34.375 |-0.3175307060404737 |0.49930759002712166 |-0.10503070604047368 |0.3918075900271217 |
15.172032747999765 |34.25 |34.375 |-0.27564950084720424 |0.5688244478651474 |-0.06314950084720425 |0.4613244478651474 |
16.7531116019818 |34.25 |34.375 |-0.26333149931977207 |-0.08910295667331038 |-0.05083149931977207 |-0.19660295667331038 |
18.243572823994327 |34.25 |34.375 |-0.26086789901428564 |0.347860149737137 |-0.04836789901428565 |0.24036014973713704 |
19.73410847299965 |34.25 |34.375 |-0.28304030176366357 |-0.13379236528346977 |-0.07054030176366358 |-0.24129236528346976 |
21.315030133991968 |34.25 |34.375 |-0.3101399051240144 |-0.3671703880254133 |-0.09763990512401441 |-0.4746703880254133 |
22.805493382998975 |34.25 |34.375 |-0.26825869993074497 |0.0524135039255277 |-0.055758699930744976 |-0.055086496074472295 |
24.295906682993518 |34.25 |34.375 |-0.3101399051240144 |-0.2182056926582153 |-0.09763990512401441 |-0.3257056926582153 |
25.877060579980025 |34.25 |34.375 |-0.3372395084843652 |-0.32744646926082716 |-0.12473950848436519 |-0.43494646926082714 |
27.367448459990555 |34.25 |34.375 |-0.31506710573498725 |-0.012137864066924759 |-0.10256710573498726 |-0.11963786406692475 |
28.85790149497916 |34.25 |34.375 |-0.33970310878985166 |-0.06179276252265742 |-0.12720310878985167 |-0.1692927625226574 |
30.438926688977517 |34.25 |34.25 |-0.2731859005417178 |-0.25296412157722814 |-0.2731859005417178 |-0.25296412157722814 |
31.929443418979645 |34.25 |34.375 |-0.24854989748685344 |-0.26786059111394794 |-0.036049897486853444 |-0.37536059111394793 |
33.41988228299306 |34.25 |34.25 |-0.35202111031728384 |-0.4292390110950791 |-0.35202111031728384 |-0.4292390110950791 |
35.00095637899358 |34.25 |34.375 |-0.15246948557288237 |-0.20579196804428213 |0.060030514427117626 |-0.3132919680442821 |
36.4913889390009 |34.25 |34.375 |-0.15493308587836882 |-0.5533762572344108 |0.057566914121631174 |-0.6608762572344108 |
37.981961912999395 |34.25 |34.375 |-0.27564950084720424 |-0.6005484107673568 |-0.06314950084720425 |-0.7080484107673568 |
39.562908452993724 |34.25 |34.312 |-0.3446303094008245 |-0.14620608989740294 |-0.23923030940082857 |-0.1995260898974009 |
41.053410538996104 |34.25 |34.437 |-0.28304030176366357 |0.26592956728517814 |0.03485969823633234 |0.1051095672851802 |
42.543939394992776 |34.25 |34.375 |-0.27564950084720424 |0.34041191496877715 |-0.06314950084720425 |0.23291191496877717 |
44.12505806598347 |34.25 |34.375 |-0.34709390970631093 |-0.09655119144167028 |-0.13459390970631094 |-0.20405119144167028 |
45.61554301198339 |34.25 |34.437 |-0.3101399051240144 |-0.2777915708050945 |0.007760094875981505 |-0.4386115708050924 |
47.10597545799101 |34.25 |34.375 |-0.29782190359658217 |0.34041191496877715 |-0.08532190359658218 |0.23291191496877717 |
48.686981623992324 |34.25 |34.437 |-0.26333149931977207 |-0.014620608989711391 |0.05456850068022384 |-0.17544060898970934 |
50.17758714000229 |34.25 |34.437 |-0.364339111844716 |0.23613662821173856 |-0.046439111844720105 |0.07531662821174062 |
51.66801307100104 |34.25 |34.437 |-0.2584042987087992 |0.18896447467879252 |0.05949570129119669 |0.02814447467879458 |
53.2490856910008 |34.25 |34.437 |-0.2707223002362314 |-0.007172374221351492 |0.04717769976376451 |-0.16799237422134944 |
54.830105912988074 |34.25 |34.375 |-0.24608629718136701 |0.03503428946602127 |-0.03358629718136702 |-0.07246571053397872 |
56.32060022599762 |34.25 |34.437 |-0.27811310115269067 |-0.21324020281264203 |0.03978689884730524 |-0.37406020281263996 |
57.81101505699917 |34.25 |34.437 |-0.2879675023746364 |-0.22813667234936183 |0.02993249762535949 |-0.38895667234935977 |
59.39506038898253 |34.25 |34.437 |-0.37912071367763467 |-0.012137864066924759 |-0.06122071367763876 |-0.1729578640669227 |
60.885530739004025 |34.25 |34.5 |-0.3027491042075551 |-0.03696531329479109 |0.12225089579244491 |-0.2519653132947911 |
62.28546111600008 |34.25 |34.437 |-0.2534770980978263 |-0.10151668128724355 |0.0644229019021696 |-0.26233668128724147 |
63.77593599498505 |34.25 |34.437 |-0.26825869993074497 |-0.02206884375807129 |0.04964130006925094 |-0.18288884375806924 |
65.26647545499145 |34.25 |34.437 |-0.21652309351552976 |-0.47641116462802513 |0.10137690648446615 |-0.6372311646280231 |
66.84753051100415 |34.25 |34.437 |-0.30028550390206865 |0.0598617386938876 |0.017614496097927257 |-0.10095826130611034 |
68.33807272897684 |34.25 |34.437 |-0.33231230787339233 |0.039999779311594534 |-0.014412307873396424 |-0.1208202206884034 |
69.82850640499964 |34.25 |34.437 |-0.24608629718136701 |0.10455114730404699 |0.0718137028186289 |-0.056268852695950944 |
71.41403938599979 |34.25 |34.437 |-0.27564950084720424 |0.2559985875940316 |0.042250499152791665 |0.09517858759403366 |
72.99505703998148 |34.25 |34.437 |-0.2584042987087992 |-0.02206884375807129 |0.05949570129119669 |-0.18288884375806924 |
74.48564690997591 |34.25 |34.375 |-0.2584042987087992 |0.0449652691571678 |-0.045904298708799224 |-0.0625347308428322 |
75.97615188200143 |34.25 |34.375 |-0.23623189595942126 |-0.22813667234936183 |-0.023731895959421268 |-0.33563667234936184 |
77.55728906299919 |34.25 |34.437 |-0.3175307060404737 |0.039999779311594534 |0.0003692939595222322 |-0.1208202206884034 |
79.04781746998196 |34.25 |34.312 |-0.27811310115269067 |0.24358486298009846 |-0.17271310115269473 |0.1902648629801005 |
80.53834394898149 |34.25 |34.375 |-0.3421667090953381 |-0.11641315082396335 |-0.1296667090953381 |-0.22391315082396335 |
82.11936050097574 |34.25 |34.312 |-0.26825869993074497 |0.0747582082306074 |-0.16285869993074903 |0.021438208230609455 |
83.60988317499869 |34.25 |34.375 |-0.3421667090953381 |-0.40689430678999944 |-0.1296667090953381 |-0.5143943067899994 |
85.1003743899928 |34.25 |34.25 |-0.26333149931977207 |-0.05682727267708415 |-0.26333149931977207 |-0.05682727267708415 |
86.68143124997732 |34.25 |34.375 |-0.26825869993074497 |0.253515842671245 |-0.055758699930744976 |0.146015842671245 |
88.17189980499097 |34.25 |34.312 |-0.2657950996252585 |-0.26041235634558807 |-0.16039509962526255 |-0.313732356345586 |
89.66240278698388 |34.25 |34.437 |-0.22884109504296193 |-0.3199982344924673 |0.08905890495703397 |-0.4808182344924652 |
91.2434618829866 |34.25 |34.375 |-0.2386954962649077 |0.21130917898387222 |-0.02619549626490769 |0.10380917898387222 |
92.73402402899228 |34.25 |34.375 |-0.1746418883222603 |0.12441310668634006 |0.0378581116777397 |0.016913106686340065 |
94.22454783998546 |34.25 |34.375 |-0.33477590817887876 |0.3031707411269776 |-0.12227590817887876 |0.19567074112697763 |
95.80562609899789 |34.25 |34.375 |-0.24115909657039414 |-1.2435793457690947 |-0.028659096570394144 |-1.3510793457690946 |
97.29606188597973 |34.25 |34.437 |-0.2337682956539348 |-0.019586098835284657 |0.0841317043460611 |-0.18040609883528258 |
