           |       |        |        |        |        |        |        |     |        |   flow |    amt |    pct |    amt |   ETOH |
           |       |  T amb | T boil | T sthd | T cool | T cool | T boil | jar |        |   rate |   coll |    alc | 100abv |    rem |
      Time |   PWM |    (C) |    (C) |    (C) | in (C) | out(C) | tgt(C) |   # |  PHASE | ml/min |   (ml) |    out |   (ml) |   (ml) |
--------------------------------------------------------------------------------------------------------------------------------------
           |       |        |        |        |        |        |        |     |        |   flow |    amt |    pct |    amt |   ETOH |
           |       |  T amb | T boil | T sthd | T cool | T cool | T boil | jar |        |   rate |   coll |    alc | 100abv |    rem |
      Time |   PWM |    (C) |    (C) |    (C) | in (C) | out(C) | tgt(C) |   # |  PHASE | ml/min |   (ml) |    out |   (ml) |   (ml) |
--------------------------------------------------------------------------------------------------------------------------------------
  04:35:36 |    40 | 39.875 | 37.687 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |      0 |     80 |      0 |   8999 |
  04:35:47 |14.417 | 39.875 | 37.750 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |      5 |     80 |      4 |   8995 |
  04:35:57 |23.884 | 39.875 | 37.687 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     10 |     80 |      4 |   8991 |
  04:36:07 |35.719 | 39.875 | 37.750 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     15 |     80 |      3 |   8987 |
  04:36:17 |48.699 | 39.875 | 37.687 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     20 |     80 |      4 |   8983 |
  04:36:27 |62.887 | 39.875 | 37.687 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     25 |     80 |      3 |   8979 |
  04:36:37 |78.027 | 39.812 | 37.687 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     30 |     80 |      3 |   8975 |
  04:36:47 |94.176 | 39.875 | 37.750 |    N/A |    N/A |    N/A |     74 |   0 |      E |     30 |     35 |     80 |      4 |   8971 |
