           |       |        |        |        |        |        |        |     |        |   flow |    amt |    pct |    amt |   ETOH |
           |       |  T amb | T boil | T sthd | T cool | T cool | T sthd | jar |        |   rate |   coll |    alc | 100abv |    rem |
      Time |   PWM |    (C) |    (C) |    (C) | in (C) | out(C) | tgt(C) |   # |  PHASE | ml/min |   (ml) |    out |   (ml) |   (ml) |
--------------------------------------------------------------------------------------------------------------------------------------
  09:16:18 |     1 | 16.375 | absent | 15.000 | 14.000 | 14.562 |     91 |   0 |      E |     10 |      0 |     80 |      0 |   2999 |
  09:16:31 |11.333 | 16.437 | absent | 15.062 | 14.125 | 14.625 |     91 |   0 |      E |     10 |      2 |     80 |      1 |   2998 |
  09:16:43 |37.615 | 16.437 | absent | 15.062 | 14.125 | 14.562 |     91 |   0 |      E |     10 |      4 |     80 |      1 |   2996 |
  09:16:55 |66.070 | 16.437 | absent | 15.062 | 14.125 | 14.625 |     91 |   0 |      E |     10 |      6 |     80 |      1 |   2995 |
  09:17:07 |    99 | 16.437 | absent | 15.000 | 14.125 | 14.625 |     91 |   0 |      E |     10 |      8 |     80 |      1 |   2993 |
  09:17:19 |    99 | 16.437 | absent | 15.062 | 14.125 | 14.562 |     91 |   0 |      E |     10 |     10 |     80 |      1 |   2991 |
  09:17:31 |    99 | 16.375 | absent | 15.000 | 14.125 | 14.625 |     91 |   0 |      E |     10 |     12 |     80 |      1 |   2990 |
  09:17:43 |    99 | 16.437 | absent | 15.000 | 14.125 | 14.625 |     91 |   0 |      E |     10 |     14 |     80 |      1 |   2988 |
  09:17:55 |    99 | 16.437 | absent | 15.000 | 14.125 | 14.687 |     91 |   0 |      E |     10 |     16 |     80 |      1 |   2987 |
  09:18:07 |    99 | 16.437 | absent | 15.000 | 14.125 | 14.687 |     91 |   0 |      E |      0 |     16 |     80 |      0 |   2987 |
  09:18:19 |    99 | 16.437 | absent | 14.812 | 14.125 | 14.687 |     91 |   0 |      E |      0 |     16 |     80 |      0 |   2771 |
  09:18:32 |    99 | 16.437 | absent | 15.000 | 14.125 | 14.687 |     91 |   0 |      E |      0 |     16 |     80 |      0 |   2771 |
  09:18:44 |    99 | 16.375 | absent | 14.937 | 14.125 | 14.562 |     91 |   0 |      E |      0 |      0 |     80 |      0 |   2771 |
  09:18:56 |    99 | 16.375 | absent | 14.937 | 14.062 | 14.625 |     91 |   0 |      E |      0 |      0 |     80 |      0 |   2771 |
  09:19:08 |    99 | 16.437 | absent | 14.937 | 14.125 | 14.625 |     91 |   0 |      E |      0 |      0 |     80 |      0 |   2771 |
  09:19:20 |    99 | 16.437 | absent | 14.937 | 14.125 | 14.500 |     91 |   0 |      E |      0 |      0 |     80 |      0 |   2771 |
  09:19:32 |    99 | 16.437 | absent | 15.000 | 14.125 | 14.500 |     91 |   0 |      E |      0 |      0 |     80 |      0 |   2771 |
  09:19:44 |    99 | 16.375 | absent | 15.000 | 14.125 | 14.625 |     91 |   0 |      E |      0 |      0 |     80 |      0 |   2771 |
  09:19:56 |    99 | 16.375 | absent | 14.937 | 14.125 | 14.687 |     91 |   0 |      E |      0 |      0 |     80 |      0 |   2771 |
