0,0
1,7
2,8.5
5,12
10,17.6
15,24
20,33.7
25,43.5
30,51
35,62
40,70
45,77
50,86
55,92
60,99
65,104
70,109
75,114
80,116
85,119
90,120
95,122
100,123
