Time,Tamb,Tparrot,wt56 unadj,wt56 adj,wt2425 unadj,wt2425 adj
2024/06/18 10:15:39,25.0,22.125,-0.8908962383781166,0.28558376162188137,0.3221882499916852,-0.26949175000831377
2024/06/18 10:16:42,25.0,22.125,-0.9248916732768587,0.25158832672313924,0.3936943156786366,-0.19798568432136238
2024/06/18 10:17:44,25.0,22.125,-0.9248916732768587,0.25158832672313924,0.36657132524565506,-0.22510867475434393
2024/06/18 10:18:47,25.062,22.187,-0.9540306174757806,0.3284693825242194,0.304928165170697,-0.34007183482930303
2024/06/18 10:19:49,25.062,22.187,-0.9540306174757806,0.3284693825242194,0.457803202156593,-0.18719679784340704
2024/06/18 10:20:52,25.062,22.187,-0.9661718442253313,0.31632815577466866,0.381365683663645,-0.26363431633635503
2024/06/18 10:21:54,25.062,22.187,-1.0608734128718273,0.22162658712817263,0.4158858533056215,-0.22911414669437852
2024/06/18 10:22:57,25.125,22.187,-0.9783130709748822,0.4119169290251159,0.4134201269026232,-0.2857598730973758
2024/06/18 10:23:59,25.062,22.25,-1.0365909593727258,0.24590904062727414,0.4676661077685863,-0.17733389223141371
2024/06/18 10:25:02,25.125,22.25,-1.1215795466195813,0.2686504533804168,0.49478909820156786,-0.20439090179843117
2024/06/18 10:26:04,25.125,22.25,-1.0754428849712883,0.3147871150287098,0.4701318341715846,-0.22904816582841442
2024/06/18 10:27:06,25.187,22.25,-1.162859717568054,0.3333902824319459,0.48246046618657623,-0.2700395338134237
2024/06/18 10:28:09,25.125,22.25,-1.1215795466195813,0.2686504533804168,0.519446362231551,-0.17973363776844797
2024/06/18 10:29:11,25.187,22.312,-1.1944269071168858,0.30182309288311404,0.47999473978357793,-0.272505260216422
2024/06/18 10:30:14,25.187,22.312,-1.225994096665718,0.27025590333428195,0.49725482460456616,-0.2552451753954338
2024/06/18 10:31:16,25.187,22.312,-1.2041398885165266,0.2921101114834732,0.44054311733560475,-0.3119568826643952
2024/06/18 10:32:18,25.25,22.312,-1.2502765501648194,0.35370344983517854,0.4873919189925729,-0.31928808100742606
2024/06/18 10:33:21,25.25,22.375,-1.2041398885165266,0.3998401114834713,0.47506328697758127,-0.3316167130224177
2024/06/18 10:34:23,25.25,22.312,-1.3571193455608663,0.24686065443913163,0.5071177302165595,-0.29956226978343947
2024/06/18 10:35:26,25.25,22.375,-1.320695665312214,0.283284334687784,0.5095834566195578,-0.2970965433804411
2024/06/18 10:36:28,25.312,22.375,-1.3134109292624836,0.39658907073751637,0.5046520038135611,-0.35534799618643886
2024/06/18 10:37:30,25.25,22.375,-1.4858163491061045,0.11816365089389347,0.47752901338057957,-0.3291509866194194
2024/06/18 10:38:33,25.25,22.375,-1.4251102153583506,0.17886978464164738,0.5934181543215008,-0.21326184567849815
2024/06/18 10:39:35,25.312,22.375,-1.41539723395871,0.29460276604129,0.5095834566195578,-0.35041654338044215
