Time,Tamb,Tparrot,wt56 unadj,wt56 adj,wt2425 unadj,wt2425 adj
2024/06/18 21:28:10,30.187,28.187,-0.02436226968755624,0.05623773031244528,0.007448234768359899,-0.0458717652316411
2024/06/18 21:29:12,30.125,28.187,0.05200933978252333,0.05200933978252333,-0.09682705198867869,-0.09682705198867869
2024/06/18 21:30:15,30.062,28.125,0.07418174253190127,-0.00771825746809722,-0.07448234768359899,-0.020302347683599987
2024/06/18 21:31:17,30.0,28.125,0.07418174253190127,-0.08831825746809874,-0.08441332737474552,0.023086672625254476
2024/06/18 21:32:20,30.0,28.062,0.11359934741968428,-0.04890065258031573,-0.09930979691146533,0.008190203088534673
2024/06/18 21:33:22,30.0,28.062,0.2072161590281689,0.04471615902816889,-0.09930979691146533,0.008190203088534673
2024/06/18 21:34:25,30.0,28.062,0.1554805526129537,-0.007019447387046296,-0.062068623069665825,0.04543137693033417
2024/06/18 21:35:27,29.937,28.0,0.22199776086108752,-0.022402239138910984,-0.11917175629375838,0.04250824370624061
2024/06/18 21:36:29,29.937,28.0,0.2909785694147078,0.04657856941470928,-0.13158548090769157,0.030094519092307426
2024/06/18 21:37:32,29.937,28.0,0.2712697669708163,0.026869766970817777,-0.1588956750583445,0.0027843249416544813
2024/06/18 21:38:34,29.937,27.937,0.30822377155311287,0.06382377155311436,-0.1737921445950643,-0.012112144595065322
2024/06/18 21:39:37,29.937,28.0,0.2515609645269248,0.007160964526926272,-0.10179254183425196,0.05988745816574703
2024/06/18 21:40:39,29.937,28.0,0.3845953810231924,0.1401953810231939,-0.20358508366850392,-0.04190508366850493
2024/06/18 21:41:42,29.937,27.937,0.37966818041221956,0.13526818041222105,-0.16137841998113114,0.00030158001886784747
2024/06/18 21:42:44,29.812,27.937,0.35995937796832805,-0.04694062203167043,-0.18620586920899748,0.0829741307910015
2024/06/18 21:43:47,29.875,27.937,0.382131780717706,0.05713178071770597,-0.2408262575103034,-0.025826257510303402
2024/06/18 21:44:49,29.812,27.937,0.4437217883548669,0.036821788354868434,-0.20606782859129055,0.06311217140870842
2024/06/18 21:45:52,29.812,27.937,0.4412581880493805,0.03435818804938201,-0.28303292119767615,-0.01385292119767717
2024/06/18 21:46:54,29.812,27.875,0.5373385999633515,0.13043859996335305,-0.26317096181538313,0.006009038184615845
2024/06/18 21:47:57,29.812,27.875,0.48313939324264993,0.07623939324265144,-0.23586076766473013,0.033319232335268845
2024/06/18 21:48:59,29.75,27.875,0.5644382033237024,0.07693820332370238,-0.3053776255027559,0.01712237449724413
2024/06/18 21:50:01,29.75,27.875,0.5644382033237024,0.07693820332370238,-0.2532399821242366,0.06926001787576341
2024/06/18 21:51:04,29.75,27.875,0.5669018036291888,0.0794018036291888,-0.317791350116689,0.004708649883310989
2024/06/18 21:52:06,29.75,27.875,0.618637410044404,0.13113741004440393,-0.2879984110432494,0.034501588956750595
2024/06/18 21:53:09,29.687,27.875,0.5841470057675939,0.014747005767595467,-0.38730820795471477,-0.010628207954715752
2024/06/18 21:54:11,29.75,27.812,0.7541354268461581,0.26663542684615804,-0.34013605442176875,-0.017636054421768743
2024/06/18 21:55:14,29.687,27.812,0.6851546182925379,0.11575461829253941,-0.345101544267342,0.031578455732656996
2024/06/18 21:56:16,29.687,27.812,0.7196450225693479,0.15024502256934946,-0.3599980138040618,0.016681986195937193
2024/06/18 21:57:19,29.687,27.812,0.7713806289845632,0.2019806289845647,-0.39227369780028803,-0.01559369780028902
2024/06/18 21:58:21,29.687,27.812,0.7836986305119953,0.21429863051199682,-0.35503252395848856,0.02164747604151046
2024/06/18 21:59:24,29.687,27.75,0.7738442292900496,0.20444422929005113,-0.5213764337851929,-0.14469643378519392
2024/06/18 22:00:26,29.625,27.75,0.8009438326504004,0.15094383265040034,-0.4816525150206068,-0.051652515020606804
2024/06/18 22:01:28,29.625,27.687,0.8305070363162377,0.18050703631623766,-0.40965291225979444,0.02034708774020555
2024/06/18 22:02:31,29.625,27.687,0.8674610408985343,0.21746104089853424,-0.4419285962560207,-0.011928596256020718
2024/06/18 22:03:33,29.625,27.687,0.8699246412040207,0.21992464120402067,-0.4295148716420875,0.00048512835791247877
2024/06/18 22:04:36,29.562,27.687,0.8871698433424258,0.15526984334242722,-0.47172153532946026,0.012458464670538738
2024/06/18 22:05:38,29.562,27.687,0.9832502552563968,0.2513502552563982,-0.5188936888624063,-0.03471368886240728
