Time,Tamb,Tparrot,wt56,wt2425
Fri Jun 14 11:11:32 2024,27.187,24.25,-5.156857499999969,0.7191666666665697
Fri Jun 14 11:12:05 2024,27.187,24.25,-5.086857499999969,0.7666666666665697
Fri Jun 14 11:12:37 2024,27.187,24.25,-5.151857499999969,0.7491666666665696
Fri Jun 14 11:13:09 2024,27.25,24.25,-5.133125,0.7516666666665697
Fri Jun 14 11:13:42 2024,27.187,24.25,-5.214357499999969,0.7216666666665696
Fri Jun 14 11:14:14 2024,27.25,24.312,-5.058125,0.7516666666665697
Fri Jun 14 11:14:47 2024,27.25,24.312,-5.150625,0.7891666666665696
Fri Jun 14 11:15:19 2024,27.312,24.312,-5.080919999999969,0.7616666666665697
Fri Jun 14 11:15:51 2024,27.312,24.312,-5.158419999999969,0.7641666666665696
Fri Jun 14 11:16:24 2024,27.312,24.312,-5.1534199999999695,0.7541666666665696
Fri Jun 14 11:16:56 2024,27.312,24.312,-5.135919999999969,0.8241666666665697
Fri Jun 14 11:17:29 2024,27.437,24.312,-5.024982499999969,0.7891666666665696
Fri Jun 14 11:18:01 2024,27.375,24.312,-5.1421875,0.8841666666665696
Fri Jun 14 11:18:33 2024,27.437,24.375,-5.014982499999969,0.7341666666665696
Fri Jun 14 11:19:06 2024,27.437,24.375,-5.077482499999969,0.9066666666665697
Fri Jun 14 11:19:38 2024,27.437,24.375,-5.037482499999969,0.8291666666665697
Fri Jun 14 11:20:11 2024,27.5,24.375,-5.05125,0.9016666666665697
Fri Jun 14 11:20:43 2024,27.5,24.437,-5.16625,0.8566666666665697
Fri Jun 14 11:21:15 2024,27.5,24.437,-5.12875,0.9641666666665697
Fri Jun 14 11:21:48 2024,27.562,24.437,-5.031544999999969,0.9066666666665697
Fri Jun 14 11:22:20 2024,27.625,24.437,-5.0228125,0.7741666666665696
Fri Jun 14 11:22:53 2024,27.625,24.437,-5.0403125,0.8341666666665697
Fri Jun 14 11:23:25 2024,27.625,24.5,-5.0703125,0.9016666666665697
Fri Jun 14 11:23:58 2024,27.687,24.5,-4.9756074999999695,0.8491666666665697
Fri Jun 14 11:24:30 2024,27.687,24.5,-5.010607499999969,0.9841666666665696
Fri Jun 14 11:25:03 2024,27.75,24.5,-4.896875,0.9416666666665696
Fri Jun 14 11:25:35 2024,27.812,24.562,-4.874669999999969,0.9566666666665696
Fri Jun 14 11:26:07 2024,27.812,24.562,-4.964669999999969,1.0066666666665696
Fri Jun 14 11:26:40 2024,27.812,24.562,-4.979669999999969,0.9891666666665696
Fri Jun 14 11:27:12 2024,27.812,24.625,-5.044669999999969,1.0616666666665697
Fri Jun 14 11:27:45 2024,27.875,24.625,-4.9759375,1.0841666666665697
Fri Jun 14 11:28:17 2024,27.937,24.625,-4.9112324999999695,1.0766666666665696
Fri Jun 14 11:28:49 2024,27.937,24.625,-4.838732499999969,0.9991666666665696
Fri Jun 14 11:29:22 2024,28.0,24.625,-4.87,0.9916666666665697
Fri Jun 14 11:29:54 2024,28.062,24.687,-4.837794999999969,1.0716666666665697
Fri Jun 14 11:30:27 2024,28.062,24.687,-4.807794999999969,1.0016666666665697
